country_name,health_expenditure_per_capita
Aruba,
Africa Eastern and Southern,217.4873654
Afghanistan,363.611185
Africa Western and Central,183.8821718
Angola,198.5463085
Albania,1131.669115
Andorra,4907.773484
Arab World,922.74753
United Arab Emirates,4065.614004
Argentina,2323.078206
Armenia,1924
American Samoa,
Antigua and Barbuda,1229.345766
Australia,6488.269006
Austria,7272
Azerbaijan,733
Burundi,70.49819553
Belgium,6519.197558
Benin,97.18759938
Burkina Faso,152.7088895
Bangladesh,153.5740438
Bulgaria,2391
Bahrain,2341.753004
"Bahamas, The",2369.338354
Bosnia and Herzegovina,1693
Belarus,1389
Belize,479.4455205
Bermuda,
Bolivia,721.8169786
Brazil,1625.641236
Barbados,1228.525836
Brunei Darussalam,1456.427902
Bhutan,441.8262516
Botswana,1095.999419
Central African Republic,85.65123263
Canada,6552.219354
Central Europe and the Baltics,2746.346843
Switzerland,8998.390839
Channel Islands,
Chile,2647.611968
China,1032.667568
Cote d'Ivoire,187.8897728
Cameroon,155.5611965
"Congo, Dem. Rep.",45.61236952
"Congo, Rep.",124.9104323
Colombia,1542.482056
Comoros,222.6789866
Cabo Verde,505.6389095
Costa Rica,1713.844129
Caribbean small states,1144.869679
Cuba,3033.187232
Curacao,
Cayman Islands,
Cyprus,4206
Czechia,4249.36158
Germany,7606.962804
Djibouti,150.3390785
Dominica,753.3220553
Denmark,7043
Dominican Republic,1006.378446
Algeria,672.252513
East Asia & Pacific (excluding high income),877.5946805
Early-demographic dividend,473.3879513
East Asia & Pacific,1246.18616
Europe & Central Asia (excluding high income),1136.08433
Europe & Central Asia,3820.549381
Ecuador,971.2462474
"Egypt, Arab Rep.",615.4600646
Euro area,5765.927596
Eritrea,79.74720385
Spain,4367.577583
Estonia,3258.781031
Ethiopia,81.73697651
European Union,5226.492271
Fragile and conflict affected situations,212.899729
Finland,5613
Fiji,612.3770387
France,6330.466961
Faroe Islands,
"Micronesia, Fed. Sts.",353.0963223
Gabon,411.0040192
United Kingdom,6159.79634
Georgia,1413
Ghana,247.9073421
Gibraltar,
Guinea,109.3664246
"Gambia, The",72.76535965
Guinea-Bissau,174.1371135
Equatorial Guinea,547.4501216
Greece,2860.611494
Grenada,843.4757052
Greenland,
Guatemala,665.3437144
Guam,
Guyana,1133.619403
High income,6497.976766
"Hong Kong SAR, China",
Honduras,560.7978654
Heavily indebted poor countries (HIPC),144.5407713
Croatia,2703
Haiti,109.7033245
Hungary,2706
IBRD only,845.359972
IDA & IBRD total,672.2478494
IDA total,182.7275719
IDA blend,220.2212514
Indonesia,483.0068905
IDA only,162.965911
Isle of Man,
India,236
Not classified,
Ireland,7196.312827
"Iran, Islamic Rep.",951.153882
Iraq,513.2384807
Iceland,5697
Israel,3665
Italy,4372
Jamaica,757.5181623
Jordan,738.5231805
Japan,4676
Kazakhstan,1114
Kenya,236.9848455
Kyrgyz Republic,302
Cambodia,360.3346672
Kiribati,346
St. Kitts and Nevis,1793.167946
"Korea, Rep.",4366.951254
Kuwait,2908.251613
Latin America & Caribbean (excluding high income),1408.00006
Lao PDR,234.1689172
Lebanon,528.0859726
Liberia,259.805156
Libya,
St. Lucia,890.1025145
Latin America & Caribbean,1405.803218
Least developed countries: UN classification,140.130817
Low income,111.8030422
Liechtenstein,
Sri Lanka,609
Lower middle income,273.1654006
Low & middle income,608.9476833
Lesotho,264.3650908
Late-demographic dividend,1256.869386
Lithuania,3432
Luxembourg,7515
Latvia,3153
"Macao SAR, China",
St. Martin (French part),
Morocco,515.7605643
Monaco,8788.71202
Moldova,1207
Madagascar,56.67031758
Maldives,2066
Middle East & North Africa,1090.556727
Mexico,1190.110028
Marshall Islands,676.9144873
Middle income,659.6097128
North Macedonia,1535
Mali,106.9683494
Malta,5317
Myanmar,254
Middle East & North Africa (excluding high income),690.2013131
Montenegro,2439
Mongolia,885.9516109
Northern Mariana Islands,
Mozambique,121.9980197
Mauritania,240.3572627
Mauritius,1428.983177
Malawi,118.9187269
Malaysia,1268.21222
North America,11448.38277
Namibia,941.728429
New Caledonia,
Niger,75.7957048
Nigeria,220.4431661
Nicaragua,599.8595861
Netherlands,7179
Norway,8275
