country,AlzheimersRates_PrevalenceCases_RatePer100k_2021,AlzheimersRates_PrevalenceCasesUpperValue_RatePer100k_2021,AlzheimersRates_PrevalenceCasesLowerValue_RatePer100k_2021
India,294.78,337.41,253.91
China,1194.23,1382.73,1018.35
United States,1466.01,1683.85,1272.12
Indonesia,397.74,456.47,341.81
Pakistan,159.35,182.55,163.56
Nigeria,109.69,125.09,94.47
Brazil,828.57,941.73,719.78
Bangladesh,313.88,359.64,271.31
Russia,1108.61,1274.76,961.49
Ethiopia,178.36,202.58,154.51
Mexico,470.69,514.17,406.96
Japan,2636.98,3032.23,2266.26
Egypt,268.03,301.13,231.71
Philippines,370.3,421.97,321.86
DR Congo,191.29,217.31,166.19
Vietnam,529.78,600.1,452.37
Iran,593.55,678.22,514.23
Turkey,823.36,941.51,711.9
Germany,2337.13,2656.83,2020.26
Thailand,988.91,1127.62,856.84
United Kingdom,1336.02,1527.14,1147
Tanzania,185.62,206.77,163.5
France,1392.69,1574.2,1215.67
South Africa,395.67,453.04,339.93
Italy,2387.41,2753.75,2029.67
Kenya,189.05,215.22,162.93
Myanmar,456.65,518.14,393.55
Colombia,739.82,837.1,638.87
South Korea,1351.64,1531.38,1182.01
Sudan,242.84,276.09,209.92
Uganda,141.82,160.66,122.27
Spain,1567.25,1778.77,1358.69
Algeria,483.97,558.21,415.48
Iraq,306.49,350.77,262.46
Argentina,764.98,876.27,661.88
Afghanistan,156.97,179.54,135.14
Yemen,225.67,257.69,196.26
Canada,1684.98,1888.77,1486.5
Poland,1311.49,1508.27,1132.01
Morocco,566.66,644.21,486.5
Angola,160.76,182.68,138.4
Ukraine,1223.92,1415.41,1053.37
Uzbekistan,334.82,379.89,286.69
Malaysia,483.48,550.97,411.44
Mozambique,138.49,156.93,118.94
Ghana,141.98,161.73,120.88
Peru,397.97,455.69,345.47
Saudi Arabia,190.51,217.79,163.31
Madagascar,134.71,154.47,115.86
Ivory Coast,113.12,129.43,97.59
Nepal,267.73,305.34,229.86
Cameroon,114.05,130.36,97.68
Venezuela,741.38,835.18,641.98
Niger,97.83,111.47,83.73
Australia,1165.46,1313.17,1015.98
North Korea,670.91,773.22,573.22
Syria,528.71,603.93,453.04
Mali,110.97,126.49,96.24
Burkina Faso,134.07,152.69,114.89
Taiwan,1041.93,1168.59,885.91
Sri Lanka,686.52,789.33,583.11
Malawi,155.21,176.27,132.62
Zambia,137.54,156.68,118.44
Kazakhstan,463.76,530.28,399.49
Chad,97.13,109.87,83.56
Chile,846.09,968.5,729.59
Romania,1399.83,1609.59,1198.27
Somalia,93.79,107.11,80.26
Senegal,161.04,183.5,138.08
